protocol,port,description
tcp,0,reserved
tcp,1,port service multiplexer
tcp,2,management utility
tcp,3,compression process
tcp,4,unassigned
tcp,5,remote job entry
tcp,6,unassigned
tcp,7,echo
tcp,8,unassigned
tcp,9,discard
tcp,10,unassigned
tcp,11,active users
tcp,12,unassigned
tcp,13,daytime (rfc 867)
tcp,14,unassigned
tcp,15,unassigned [was netstat]
tcp,16,unassigned
tcp,17,quote of the day
tcp,18,message send protocol
tcp,19,character generator
tcp,20,file transfer [default data]
tcp,21,file transfer [control]
tcp,22,ssh remote login protocol
tcp,23,telnet
tcp,24,any private mail system
tcp,25,simple mail transfer
tcp,26,unassigned
tcp,27,nsw user system fe
tcp,28,unassigned
tcp,29,msg icp
tcp,30,unassigned
tcp,31,msg authentication
tcp,32,unassigned
tcp,33,display support protocol
tcp,34,unassigned
tcp,35,any private printer server
tcp,36,unassigned
tcp,37,time / w32.sober.i virus
tcp,38,route access protocol
tcp,39,resource location protocol
tcp,40,unassigned
tcp,41,graphics
tcp,42,host name server
tcp,43,whois
tcp,44,mpm flags protocol
tcp,45,message processing module [recv]
tcp,46,mpm [default send]
tcp,47,ni ftp
tcp,48,digital audit daemon
tcp,49,login host protocol (tacacs)
tcp,50,remote mail checking protocol
tcp,51,imp logical address maintenance
tcp,52,xns time protocol
tcp,53,domain name server
tcp,54,xns clearinghouse
tcp,55,isi graphics language
tcp,56,xns authentication
tcp,57,any private terminal access
tcp,58,xns mail
tcp,59,any private file service
tcp,60,unassigned
tcp,61,ni mail
tcp,62,aca services
tcp,63,whois++
tcp,64,communications integrator (ci)
tcp,65,tacacs-database service
tcp,66,oracle sql*net
tcp,67,bootstrap protocol server
tcp,68,bootstrap protocol client
tcp,69,trivial file transfer
tcp,70,gopher
tcp,71,remote job service
tcp,72,remote job service
tcp,73,remote job service
tcp,74,remote job service
tcp,75,any private dial out service
tcp,76,distributed external object store
tcp,77,any private rje service
tcp,78,vettcp
tcp,79,finger
tcp,80,world wide web http
tcp,81,hosts2 name server / bagle-az worm / win32.rbot worm
tcp,82,xfer utility
tcp,83,mit ml device
tcp,84,common trace facility
tcp,85,mit ml device
tcp,86,micro focus cobol
tcp,87,any private terminal link
tcp,88,kerberos
tcp,89,su/mit telnet gateway
tcp,90,dnsix securit attribute token map
tcp,91,mit dover spooler
tcp,92,network printing protocol
tcp,93,device control protocol
tcp,94,tivoli object dispatcher
tcp,95,supdup
tcp,96,dixie protocol specification
tcp,97,swift remote virtural file protocol
tcp,98,linuxconf / tac news
tcp,99,metagram relay
tcp,100,[unauthorized use]
tcp,101,nic host name server
tcp,102,msexchangemta x.400 / iso-tsap class 0
tcp,103,genesis point-to-point trans net
tcp,104,acr-nema digital imag. & comm. 300
tcp,105,mailbox name nameserver
tcp,106,3com-tsmux
tcp,107,remote telnet service
tcp,108,sna gateway access server
tcp,109,post office protocol - version 2
tcp,110,post office protocol - version 3
tcp,111,sun remote procedure call
tcp,112,mcidas data transmission protocol
tcp,113,authentication service
tcp,114,audio news multicast
tcp,115,simple file transfer protocol
tcp,116,ansa rex notify
tcp,117,uucp path service
tcp,118,sql services
tcp,119,network news transfer protocol
tcp,120,cfdptkt
tcp,121,encore expedited remote pro.call
tcp,122,smakynet
tcp,123,network time protocol
tcp,124,ansa rex trader
tcp,125,locus pc-interface net map ser
tcp,126,unisys unitary login
tcp,127,locus pc-interface conn server
tcp,128,gss x license verification
tcp,129,password generator protocol
tcp,130,cisco fnative
tcp,131,cisco tnative
tcp,132,cisco sysmaint
tcp,133,statistics service
tcp,134,ingres-net service
tcp,135,dce endpoint resolution
tcp,136,profile naming system
tcp,137,netbios name service
tcp,138,netbios datagram service
tcp,139,netbios session service
tcp,140,emfis data service
tcp,141,emfis control service
tcp,142,britton-lee idm
tcp,143,internet message access protocol
tcp,144,universal management architecture
tcp,145,uaac protocol
tcp,146,iso-ip0
tcp,147,iso-ip
tcp,148,jargon
tcp,149,aed 512 emulation service
tcp,150,sql-net
tcp,151,hems
tcp,152,background file transfer program
tcp,153,sgmp
tcp,154,netsc
tcp,155,netsc
tcp,156,sql service
tcp,157,knet/vm command/message protocol
tcp,158,pcmail server
tcp,159,nss-routing
tcp,160,sgmp-traps
tcp,161,snmp
tcp,162,snmptrap
tcp,163,cmip/tcp manager
tcp,164,cmip/tcp agent
tcp,165,xerox
tcp,166,sirius systems
tcp,167,namp
tcp,168,rsvd
tcp,169,send
tcp,170,network postscript
tcp,171,network innovations multiplex
tcp,172,network innovations cl/1
tcp,173,xyplex
tcp,174,mailq
tcp,175,vmnet
tcp,176,genrad-mux
tcp,177,x display manager control protocol
tcp,178,nextstep window server
tcp,179,border gateway protocol
tcp,180,intergraph
tcp,181,unify
tcp,182,unisys audit sitp
tcp,183,ocbinder
tcp,184,ocserver
tcp,185,remote-kis
tcp,186,kis protocol
tcp,187,application communication interface
tcp,188,plus five's mumps
tcp,189,queued file transport
tcp,190,gateway access control protocol
tcp,191,prospero directory service
tcp,192,osu network monitoring system
tcp,193,spider remote monitoring protocol
tcp,194,internet relay chat protocol
tcp,195,dnsix network level module audit
tcp,196,dnsix session mgt module audit redir
tcp,197,directory location service
tcp,198,directory location service monitor
tcp,199,smux
tcp,200,ibm system resource controller
tcp,201,appletalk routing maintenance
tcp,202,appletalk name binding
tcp,203,appletalk unused
tcp,204,appletalk echo
tcp,205,appletalk unused
tcp,206,appletalk zone information
tcp,207,appletalk unused
tcp,208,appletalk unused
tcp,209,the quick mail transfer protocol
tcp,210,ansi z39.50
tcp,211,texas instruments 914c/g terminal
tcp,212,atexsstr
tcp,213,ipx
tcp,214,vm pwscs
tcp,215,insignia solutions
tcp,216,computer associates int'l license server
tcp,217,dbase unix
tcp,218,netix message posting protocol
tcp,219,unisys arps
tcp,220,interactive mail access protocol v3
tcp,221,berkeley rlogind with spx auth
tcp,222,berkeley rshd with spx auth
tcp,223,certificate distribution center
tcp,224,masqdialer
tcp,242,direct
tcp,243,survey measurement
tcp,244,inbusiness
tcp,245,link
tcp,246,display systems protocol
tcp,247,subntbcst_tftp
tcp,248,bhfhs
tcp,256,rap/checkpoint snmp
tcp,257,check point / secure electronic transaction
tcp,258,check point / yak winsock personal chat
tcp,259,check point firewall-1 telnet auth / efficient short remote operations
tcp,260,openport
tcp,261,iiop name service over tls/ssl
tcp,262,arcisdms
tcp,263,hdap
tcp,264,bgmp / check point
tcp,265,x-bone ctl
tcp,266,scsi on st
tcp,267,tobit david service layer
tcp,268,tobit david replica
tcp,280,http-mgmt
tcp,281,personal link
tcp,282,cable port a/x
tcp,283,rescap
tcp,284,corerjd
tcp,286,fxp-1
tcp,287,k-block
tcp,308,novastor backup
tcp,309,entrusttime
tcp,310,bhmds
tcp,311,appleshare ip webadmin
tcp,312,vslmp
tcp,313,magenta logic
tcp,314,opalis robot
tcp,315,dpsi
tcp,316,decauth
tcp,317,zannet
tcp,318,pkix timestamp
tcp,319,ptp event
tcp,320,ptp general
tcp,321,pip
tcp,322,rtsps
tcp,333,texar security port
tcp,344,prospero data access protocol
tcp,345,perf analysis workbench
tcp,346,zebra server
tcp,347,fatmen server
tcp,348,cabletron management protocol
tcp,349,mftp
tcp,350,matip type a
tcp,351,bhoetty (added 5/21/97)
tcp,352,bhoedap4 (added 5/21/97)
tcp,353,ndsauth
tcp,354,bh611
tcp,355,datex-asn
tcp,356,cloanto net 1
tcp,357,bhevent
tcp,358,shrinkwrap
tcp,359,tenebris network trace service
tcp,360,scoi2odialog
tcp,361,semantix
tcp,362,srs send
tcp,363,rsvp tunnel
tcp,364,aurora cmgr
tcp,365,dtk
tcp,366,odmr
tcp,367,mortgageware
tcp,368,qbikgdp
tcp,369,rpc2portmap
tcp,370,codaauth2
tcp,371,clearcase
tcp,372,listprocessor
tcp,373,legent corporation
tcp,374,legent corporation
tcp,375,hassle
tcp,376,amiga envoy network inquiry proto
tcp,377,nec corporation
tcp,378,nec corporation
tcp,379,tia/eia/is-99 modem client
tcp,380,tia/eia/is-99 modem server
tcp,381,hp performance data collector
tcp,382,hp performance data managed node
tcp,383,hp performance data alarm manager
tcp,384,a remote network server system
tcp,385,ibm application
tcp,386,asa message router object def.
tcp,387,appletalk update-based routing pro.
tcp,388,unidata ldm
tcp,389,lightweight directory access protocol / internet locator service (ils)
tcp,390,uis
tcp,391,synoptics snmp relay port
tcp,392,synoptics port broker port
tcp,393,data interpretation system
tcp,394,embl nucleic data transfer
tcp,395,netscout control protocol
tcp,396,novell netware over ip
tcp,397,multi protocol trans. net.
tcp,398,kryptolan
tcp,399,iso transport class 2 non-control over tcp
tcp,400,workstation solutions
tcp,401,uninterruptible power supply
tcp,402,genie protocol
tcp,403,decap
tcp,404,nced
tcp,405,ncld
tcp,406,interactive mail support protocol
tcp,407,timbuktu
tcp,408,prospero resource manager sys. man.
tcp,409,prospero resource manager node man.
tcp,410,decladebug remote debug protocol
tcp,411,remote mt protocol
tcp,412,neomodus direct connect (windows file sharing program) / trap convention port
tcp,413,smsp
tcp,414,infoseek
tcp,415,bnet
tcp,416,silverplatter
tcp,417,onmux
tcp,418,hyper-g
tcp,419,ariel
tcp,420,smpte
tcp,421,ariel
tcp,422,ariel
tcp,423,ibm operations planning and control start
tcp,424,ibm operations planning and control track
tcp,425,icad
tcp,426,smartsdp
tcp,427,server location
tcp,428,ocs_cmu
